Nombre,Simbolo,Precio,Supply en circulacion,Marketcap,Volumen 24h,%1h,%24h,%7 días,%1 mes,% YTD,Fecha extracción
Bitcoin,BTC,60059.516563822915,18680850,1121962820001.2913,52314001521.488716,-0.11805209,0.05268143,0.89189293,0.10023043,104.4638,12-04-2021 20:45
Ethereum,ETH,2138.4061196739076,115441563.124,246860945049.0833,22054094001.69751,0.27665393,-0.64922414,0.9647423,12.97604194,192.7849,12-04-2021 20:45
Binance Coin,BNB,583.5937429782516,154532785,90184366411.00342,13557563799.817066,0.8709325,16.81074774,56.50297027,110.15737839,1439.6216,12-04-2021 20:45
XRP,XRP,1.37722362336879,45404028640,62531500839.12112,12706585235.629227,1.65126004,1.99889153,64.09298989,201.45367773,480.0195,12-04-2021 20:45
Tether,USDT,1.00119863275587,44449922420.74685,44503201553.75624,105618941359.86142,0.00939283,-0.11156286,0.10377058,0.1046615,-0.0716,12-04-2021 20:45
Cardano,ADA,1.30200602345163,31948309440.7478,41596891330.95021,4877849785.6310005,0.12551502,4.04581762,6.96932551,15.73275218,642.5187,12-04-2021 20:45
Polkadot,DOT,40.32246409493832,928931946.2562432,37456825049.55854,1847788139.7831106,-0.14541476,-2.0393223,-7.89017695,6.59448936,385.414,12-04-2021 20:45
Uniswap,UNI,37.58346078203326,523334542.438751,19668723251.63012,1990218602.5036254,1.74466966,24.70676574,22.08666951,14.31743302,693.528,12-04-2021 20:45
Litecoin,LTC,245.63942226187194,66752414.51538747,16397024536.144773,5499775289.694223,-0.15404287,-1.82091414,12.97253337,7.64715531,94.5962,12-04-2021 20:45
Chainlink,LINK,32.74617674409455,419009556.43444455,13720960992.466982,1165098671.4205751,0.83007708,-3.41116963,2.3604305,7.82789153,175.8141,12-04-2021 20:45
Stellar,XLM,0.57554585988205,22838873274.9174,13144818957.749506,2859272328.785927,0.894425,-2.81517658,12.26784576,40.53498494,334.6761,12-04-2021 20:45
Bitcoin Cash,BCH,675.2439741456315,18706318.75,12631329014.384941,3024190377.0971675,0.5336802,-1.11421958,8.43811263,13.72123605,97.448,12-04-2021 20:45
THETA,THETA,12.05534820511556,1000000000,12055348205.11556,255156524.3734046,0.71798679,-3.05354573,2.63855343,80.58909949,511.4881,12-04-2021 20:45
Filecoin,FIL,167.2226318727846,66213043,11072319314.765858,2625302236.403279,2.09997949,-5.82322658,-5.69428292,229.1042624,650.1797,12-04-2021 20:45
USD Coin,USDC,1.00163749317263,10779195302.037819,10796846160.75135,1613472166.466292,0.01413644,-0.11813161,0.14561991,0.1563123,0.1815,12-04-2021 20:45
TRON,TRX,0.13290023575026,71659657369.49,9523585358.188078,5782735206.67563,2.03210974,9.46691545,-4.04352471,151.97915833,393.3272,12-04-2021 20:45
Dogecoin,DOGE,0.07153672839088,129155074829.05345,9239331508.34978,3287887605.2618647,2.22241552,-3.90910349,23.99256055,24.06293915,1158.3506,12-04-2021 20:45
Wrapped Bitcoin,WBTC,60064.44106954463,145950.67291701,8766445592.48413,209273748.38838127,-0.13155784,0.1575537,2.07426196,0.25969299,104.6528,12-04-2021 20:45
VeChain,VET,0.12878823601603,64315576989,8283089708.76648,1317800233.1198652,-0.76295005,-7.24850646,22.03056752,87.95807619,574.9869,12-04-2021 20:45
Solana,SOL,27.6902499630798,270018859.32483864,7476889709.450463,310590632.0531315,0.54191527,-0.70482851,15.46885866,83.45217005,1403.2023,12-04-2021 20:45
Klaytn,KLAY,2.94552730094062,2448059130.2,7210825002.321048,96282516.35370861,0.67261849,-2.98685126,-9.13889695,13.75540195,493.8904,12-04-2021 20:45
EOS,EOS,6.46594916681024,952476703.1657,6158665945.240422,2270477873.4387593,-0.1599373,-3.50549886,-5.17751521,56.83449757,145.3462,12-04-2021 20:45
Monero,XMR,321.5972104719453,17882526.51918505,5750970644.760498,962267721.3315762,-0.51323718,3.62041905,19.50939871,37.54555637,136.3888,12-04-2021 20:45
Terra,LUNA,14.54941036633081,382033775.1218792,5558366168.046762,210968592.310784,-0.83242424,-4.78195932,-19.52267079,10.98950554,2140.2911,12-04-2021 20:45
IOTA,MIOTA,1.97979401365224,2779530283,5502897415.048516,165041406.02405342,-0.68027612,-3.0492161,15.17879698,42.68093519,579.5297,12-04-2021 20:45
BitTorrent,BTT,0.00815837047421,659952625000,5384138010.177384,1195916255.724128,0.33400503,-3.46996564,-34.03892732,405.73229052,2674.5784,12-04-2021 20:45
Crypto.com Coin,CRO,0.20819179897129,25263013692,5259552267.973811,116491231.18390092,1.51660602,-1.80469371,-12.78594138,7.17595204,249.3922,12-04-2021 20:45
Binance USD,BUSD,1.0018481171709,5039070575.97,5048383368.826827,6549368629.131143,0.01653067,-0.1436544,0.16684789,0.18481172,0.1748,12-04-2021 20:45
Aave,AAVE,403.83916129379077,12485012.55193932,5041936997.717626,562977176.976398,2.73453743,9.50943829,0.71429244,-1.37027026,346.9736,12-04-2021 20:45
FTX Token,FTT,52.64770826646925,94346957.523749,4967151095.539304,294070664.0975828,1.4399474,4.79956468,25.26788798,32.43135219,804.444,12-04-2021 20:45
Bitcoin SV,BSV,259.2596504921825,18703926.64423905,4849173484.616836,1096950283.5130322,0.61125959,-3.74529789,5.03786333,18.45114665,58.9421,12-04-2021 20:45
